epoch,step,test_group_l1,test_hsic,test_hsic_reg,test_l0_penalty,test_l0_reg,test_loss_x,test_notears,test_score_sparse,test_x_mae,test_x_r2,test_x_rmse,train_group_l1,train_hsic,train_hsic_reg,train_l0_penalty,train_l0_reg,train_loss_x,train_notears,train_score_sparse,train_x_mae,train_x_r2,train_x_rmse,val_group_l1,val_hsic,val_hsic_reg,val_l0_penalty,val_l0_reg,val_loss,val_loss_x,val_notears,val_score_sparse,val_x_mae,val_x_r2,val_x_rmse
38,584,,,,,,,,,,,,0.0,4.512896703090519e-05,0.0,0.0,0.0,0.020511094480752945,0.0,0.4251306653022766,0.11312179267406464,-0.008640632033348083,0.14320313930511475,,,,,,,,,,,,
39,599,,,,,,,,,,,,,,,,,,,,,,,0.0,4.505959805101156e-05,0.0,0.0,0.0,0.02034846879541874,0.02034846879541874,0.0,0.8999999761581421,0.11519743502140045,-0.00722335372120142,0.14264430105686188
39,599,,,,,,,,,,,,0.0,4.6307344746310264e-05,0.0,0.0,0.0,0.020605558529496193,0.0,0.44475728273391724,0.11366627365350723,-0.013048331253230572,0.14352820813655853,,,,,,,,,,,,
40,614,,,,,,,,,,,,,,,,,,,,,,,0.0,4.5131520892027766e-05,0.0,0.0,0.0,0.020222211256623268,0.020222211256623268,0.0,0.8999999761581421,0.11059646308422089,-0.000987726030871272,0.1422014683485031
40,614,,,,,,,,,,,,0.0,4.579465166898444e-05,0.0,0.0,0.0,0.020818760618567467,0.0,0.483541339635849,0.11380932480096817,-0.02344384230673313,0.1442638635635376,,,,,,,,,,,,
41,629,,,,,,,,,,,,,,,,,,,,,,,0.0,4.511455335887149e-05,0.0,0.0,0.0,0.020391305908560753,0.020391305908560753,0.0,0.8999999761581421,0.11030978709459305,-0.009361568838357925,0.1427948772907257
41,629,,,,,,,,,,,,0.0,4.589213494909927e-05,0.0,0.0,0.0,0.021455751731991768,0.0,0.48841601610183716,0.11681569367647171,-0.05495549365878105,0.14640842378139496,,,,,,,,,,,,
42,644,,,,,,,,,,,,,,,,,,,,,,,0.0,4.493086817092262e-05,0.0,0.0,0.0,0.020056702196598053,0.020056702196598053,0.0,0.8999999761581421,0.11251513659954071,0.007215545512735844,0.14161808788776398
42,644,,,,,,,,,,,,0.0,4.542409078567289e-05,0.0,0.0,0.0,0.022135084494948387,0.0,0.499519944190979,0.11665353924036026,-0.08885177224874496,0.14868298172950745,,,,,,,,,,,,
43,659,,,,,,,,,,,,,,,,,,,,,,,0.0,4.491016443353146e-05,0.0,0.0,0.0,0.02003331109881401,0.02003331109881401,0.0,0.8999999761581421,0.11183499544858932,0.008371107280254364,0.14153552055358887
43,659,,,,,,,,,,,,0.0,4.548898141365498e-05,0.0,0.0,0.0,0.020342521369457245,0.0,0.47870934009552,0.11273035407066345,-0.00016210034664254636,0.14261186122894287,,,,,,,,,,,,
44,674,,,,,,,,,,,,,,,,,,,,,,,0.0,4.491617073654197e-05,0.0,0.0,0.0,0.020052306354045868,0.020052306354045868,0.0,0.8999999761581421,0.11251716315746307,0.007433158811181784,0.1416025459766388
44,674,,,,,,,,,,,,0.0,4.538109351415187e-05,0.0,0.0,0.0,0.020368898287415504,0.0,0.4304426610469818,0.11323820799589157,-0.001437849598005414,0.14270669221878052,,,,,,,,,,,,
45,689,,,,,,,,,,,,,,,,,,,,,,,0.0,4.5035176299279556e-05,0.0,0.0,0.0,0.02006700076162815,0.02006700076162815,0.0,0.8999999761581421,0.11274594813585281,0.006705820560455322,0.14165443181991577
45,689,,,,,,,,,,,,0.0,4.549631921690889e-05,0.0,0.0,0.0,0.02022857777774334,0.0,0.37944531440734863,0.11242704093456268,0.005386751145124435,0.14221812784671783,,,,,,,,,,,,
46,704,,,,,,,,,,,,,,,,,,,,,,,0.0,4.4905958930030465e-05,0.0,0.0,0.0,0.020045049488544464,0.020045049488544464,0.0,0.8999999761581421,0.11209265142679214,0.007791261188685894,0.14157696068286896
46,704,,,,,,,,,,,,0.0,4.536210690275766e-05,0.0,0.0,0.0,0.02056802250444889,0.0,0.4758293330669403,0.11340566724538803,-0.011325813829898834,0.14339479804039001,,,,,,,,,,,,
47,719,,,,,,,,,,,,,,,,,,,,,,,0.0,4.4966578570893034e-05,0.0,0.0,0.0,0.020121686160564423,0.020121686160564423,0.0,0.8999999761581421,0.11341630667448044,0.004000668413937092,0.14184726774692535
47,719,,,,,,,,,,,,0.0,4.5962693548062816e-05,0.0,0.0,0.0,0.020732395350933075,0.0,0.40594130754470825,0.11359354853630066,-0.01946842297911644,0.14397083222866058,,,,,,,,,,,,
48,734,,,,,,,,,,,,,,,,,,,,,,,0.0,4.4949050789000466e-05,0.0,0.0,0.0,0.020054010674357414,0.020054010674357414,0.0,0.8999999761581421,0.11246450245380402,0.007348496932536364,0.1416085958480835
48,734,,,,,,,,,,,,0.0,4.541036469163373e-05,0.0,0.0,0.0,0.02045303024351597,0.0,0.45125335454940796,0.1132461428642273,-0.005632185842841864,0.1430087834596634,,,,,,,,,,,,
49,749,,,,,,,,,,,,,,,,,,,,,,,0.0,4.4894677557749674e-05,0.0,0.0,0.0,0.02023364044725895,0.02023364044725895,0.0,0.8999999761581421,0.11446921527385712,-0.0015395593363791704,0.14224125444889069
49,749,,,,,,,,,,,,0.0,4.546951822703704e-05,0.0,0.0,0.0,0.02033114805817604,0.0,0.45155200362205505,0.11297748982906342,0.0004113948962185532,0.14258049428462982,,,,,,,,,,,,
50,764,,,,,,,,,,,,,,,,,,,,,,,0.0,4.4982101826462895e-05,0.0,0.0,0.0,0.020034296438097954,0.020034296438097954,0.0,0.8999999761581421,0.11243174970149994,0.008323726244270802,0.14153897762298584
50,764,,,,,,,,,,,,0.0,4.505360993789509e-05,0.0,0.0,0.0,0.02029595710337162,0.0,0.522506594657898,0.11293291300535202,0.002036420628428459,0.14245419204235077,,,,,,,,,,,,
51,779,,,,,,,,,,,,,,,,,,,,,,,0.0,4.5136963308323175e-05,0.0,0.0,0.0,0.021066222339868546,0.021066222339868546,0.0,0.8999999761581421,0.11010795831680298,-0.04278271645307541,0.14513899385929108
51,779,,,,,,,,,,,,0.0,4.616962905856781e-05,0.0,0.0,0.0,0.02040180377662182,0.0,0.38014933466911316,0.11342178285121918,-0.003032119944691658,0.1428235024213791,,,,,,,,,,,,
52,794,,,,,,,,,,,,,,,,,,,,,,,0.0,4.5069289626553655e-05,0.0,0.0,0.0,0.020751917734742165,0.020751917734742165,0.0,0.8999999761581421,0.11006885021924973,-0.027218731120228767,0.14405210316181183
52,794,,,,,,,,,,,,0.0,4.571642784867436e-05,0.0,0.0,0.0,0.02062818966805935,0.0,0.4115520119667053,0.11360786110162735,-0.014211256988346577,0.1436014324426651,,,,,,,,,,,,
53,809,,,,,,,,,,,,,,,,,,,,,,,0.0,4.487692058319226e-05,0.0,0.0,0.0,0.02003941871225834,0.02003941871225834,0.0,0.8999999761581421,0.11208949238061905,0.008069840259850025,0.14155709743499756
