epoch,step,test_dec_cross_entropy,test_dec_self_entropy,test_enc_self_entropy,test_loss,test_mae,test_r2,test_rmse,train_dec_cross_entropy,train_dec_self_entropy,train_enc_self_entropy,train_loss,train_mae,train_r2,train_rmse,val_dec_cross_entropy,val_dec_self_entropy,val_enc_self_entropy,val_loss,val_mae,val_r2,val_rmse
46,3007,,,,,,,,1.8370288610458374,0.0,1.7735484838485718,1.0699610710144043,0.8186864256858826,0.8977052569389343,1.026412844657898,,,,,,,
47,3071,,,,,,,,,,,,,,,1.8253931999206543,0.0,1.7530409097671509,1.0993564128875732,0.831068754196167,0.8827756643295288,1.0433603525161743
47,3071,,,,,,,,1.8261014223098755,0.0,1.7594259977340698,1.0292596817016602,0.8017744421958923,0.8994371294975281,1.0097832679748535,,,,,,,
48,3135,,,,,,,,,,,,,,,1.819145917892456,0.0,1.765397548675537,1.1329423189163208,0.845399796962738,0.8800961375236511,1.0598660707473755
48,3135,,,,,,,,1.8299771547317505,0.0,1.734552025794983,1.0668632984161377,0.8171665072441101,0.896475076675415,1.0293675661087036,,,,,,,
49,3199,,,,,,,,,,,,,,,1.8204045295715332,0.0,1.7712254524230957,1.1630077362060547,0.8561777472496033,0.8753097653388977,1.0735423564910889
49,3199,,,,,,,,1.8338186740875244,0.0,1.7823662757873535,1.0547906160354614,0.8139503002166748,0.8996139764785767,1.021806001663208,,,,,,,
50,3263,,,,,,,,,,,,,,,1.813137173652649,0.0,1.7717472314834595,1.039967656135559,0.7981851100921631,0.8908849358558655,1.014945387840271
50,3263,,,,,,,,1.8242466449737549,0.0,1.7549477815628052,1.047506332397461,0.8098400831222534,0.8971256017684937,1.0174893140792847,,,,,,,
51,3327,,,,,,,,,,,,,,,1.8195849657058716,0.0,1.8007252216339111,1.0467666387557983,0.7974697947502136,0.8907636404037476,1.018004298210144
51,3327,,,,,,,,1.8203916549682617,0.0,1.7639987468719482,1.054141640663147,0.8073224425315857,0.8964620232582092,1.0201915502548218,,,,,,,
52,3391,,,,,,,,,,,,,,,1.825183391571045,0.0,1.8004814386367798,1.0277068614959717,0.7842360734939575,0.8931288123130798,1.0082402229309082
52,3391,,,,,,,,1.8284155130386353,0.0,1.7872782945632935,1.0520997047424316,0.807807445526123,0.8992457389831543,1.0201760530471802,,,,,,,
53,3455,,,,,,,,,,,,,,,1.824398398399353,0.0,1.7817410230636597,1.0915230512619019,0.8238500952720642,0.8849813938140869,1.0386697053909302
53,3455,,,,,,,,1.8235756158828735,0.0,1.785361886024475,1.0323289632797241,0.8063751459121704,0.9002729654312134,1.0108445882797241,,,,,,,
54,3519,,,,,,,,,,,,,,,1.8171347379684448,0.0,1.7592729330062866,1.029092788696289,0.7974363565444946,0.8911265730857849,1.009697675704956
54,3519,,,,,,,,1.8171334266662598,0.0,1.7707825899124146,1.0382717847824097,0.8044790625572205,0.8998074531555176,1.0129938125610352,,,,,,,
55,3583,,,,,,,,,,,,,,,1.825272798538208,0.0,1.7531901597976685,1.1833479404449463,0.8671997785568237,0.8733547329902649,1.0824378728866577
55,3583,,,,,,,,1.8175408840179443,0.0,1.7577975988388062,1.0275408029556274,0.8001803755760193,0.9008946418762207,1.008678913116455,,,,,,,
56,3647,,,,,,,,,,,,,,,1.803281307220459,0.0,1.8080410957336426,1.0439778566360474,0.7961570024490356,0.890390157699585,1.0167745351791382
56,3647,,,,,,,,1.8167918920516968,0.0,1.7766276597976685,1.0340611934661865,0.802347719669342,0.9004844427108765,1.0124059915542603,,,,,,,
57,3711,,,,,,,,,,,,,,,1.8229186534881592,0.0,1.7949355840682983,1.053422212600708,0.8017852902412415,0.890156626701355,1.02016019821167
57,3711,,,,,,,,1.8193374872207642,0.0,1.788021206855774,1.040590524673462,0.8063982129096985,0.9002481698989868,1.016228437423706,,,,,,,
58,3775,,,,,,,,,,,,,,,1.802754521369934,0.0,1.8078281879425049,1.072158694267273,0.8092766404151917,0.8889411091804504,1.0299670696258545
58,3775,,,,,,,,1.8147310018539429,0.0,1.7760696411132812,1.0256539583206177,0.7969295382499695,0.8999866247177124,1.0059499740600586,,,,,,,
59,3839,,,,,,,,,,,,,,,1.8411567211151123,0.0,1.788322925567627,1.0656630992889404,0.8167539238929749,0.8872016072273254,1.0262371301651
59,3839,,,,,,,,1.8199723958969116,0.0,1.784472942352295,1.101212739944458,0.8285810351371765,0.8938350081443787,1.0433803796768188,,,,,,,
60,3903,,,,,,,,,,,,,,,1.8420215845108032,0.0,1.784177541732788,1.3158777952194214,0.9204425811767578,0.8585434556007385,1.14113187789917
60,3903,,,,,,,,1.8399821519851685,0.0,1.7833476066589355,1.0821678638458252,0.8206220269203186,0.8954195380210876,1.0320558547973633,,,,,,,
61,3967,,,,,,,,,,,,,,,1.8472737073898315,0.0,1.7842599153518677,1.1948491334915161,0.871371328830719,0.8720046877861023,1.0869724750518799
